City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Broken Hill,0,AU,1561609538,37,-31.97,141.45,68,14.99
Padang,23,ID,1561609541,73,-0.92,100.36,81.59,4.5
San Cristobal,100,HN,1561609545,91,14.68,-86.92,67.37,5.95
Santiago,43,PH,1561609548,68,16.69,121.54,86.45,3.74
Gamba,19,IN,1561609552,50,28.28,88.52,49.19,5.82
Canmore,90,CA,1561609555,82,51.09,-115.35,55.4,3.36
Nenjiang,100,CN,1561609558,95,49.17,125.23,56.75,21.47
Ocnita,0,RO,1561609561,88,44.98,25.55,70,1.12
Aswan,0,EG,1561609564,15,24.09,32.9,91.4,8.05
Birjand,0,IR,1561609567,10,32.86,59.22,80.6,6.93
Anadyr,90,RU,1561609571,87,64.73,177.51,50,22.37
Redlands,5,US,1561609467,53,34.06,-117.19,71.6,8.05
Atasu,0,KZ,1561609577,27,48.68,71.64,81.59,13.2
Ust-Tsilma,96,RU,1561609580,56,65.44,52.15,57.83,5.59
Bechem,52,GH,1561609583,99,7.09,-2.02,70.43,2.01
Udachnyy,0,RU,1561609586,41,66.42,112.4,78.8,6.71
Jabinyanah,0,TN,1561609522,78,35.03,10.91,73.4,3.36
Moron,6,HT,1561609593,84,18.56,-74.26,80.51,7.14
Hofn,88,IS,1561609596,92,64.25,-15.21,44.15,11.74
Vilyuysk,6,RU,1561609599,39,63.75,121.63,76.19,5.08
Ust-Kalmanka,0,RU,1561609602,66,52.12,83.31,67.19,4.74
Betare Oya,100,CM,1561609605,99,5.6,14.08,66.47,3
Nong Kung Si,40,TH,1561609609,55,16.65,103.3,91.4,9.17
Kodinsk,0,RU,1561609612,28,58.6,99.18,82.49,6.98
Shimoda,75,JP,1561609615,83,34.7,138.93,81,16.11
Nauta,0,PE,1561609618,91,-4.51,-73.58,73.49,2.35
Araouane,0,ML,1561609621,8,18.9,-3.53,94.73,5.28
Maralal,25,KE,1561609624,83,1.1,36.7,59.63,7.96
Adrar,0,DZ,1561609627,9,27.87,-0.29,87.8,5.82
Mount Darwin,84,ZW,1561609631,84,-16.77,31.58,55.49,2.44
Tecalitlan,100,MX,1561609634,91,19.47,-103.3,65.39,2.13
Jumla,0,NP,1561609637,64,29.28,82.18,63.77,3.15
Flinders,20,AU,1561609640,59,-34.58,150.85,66,2.24
Anori,0,BR,1561609643,97,-3.74,-61.66,73.13,2.21
Ternate,75,PH,1561609646,74,14.29,120.72,86,16.11
Sabha,0,LY,1561609650,32,27.03,14.43,83.03,8.57
Buala,78,SB,1561609653,70,-8.15,159.59,84.47,8.61
Clyde River,90,CA,1561609656,64,70.47,-68.59,32,4.7
Quba,0,AZ,1561609659,61,41.36,48.51,73.85,3.58
Jijiga,99,ET,1561609662,93,9.35,42.8,59.63,9.08
Gravdal,75,NO,1561609665,87,59.79,5.78,53.6,3.36
Coihaique,90,CL,1561609669,100,-45.58,-72.07,35.6,3.36
Liwale,99,TZ,1561609672,77,-9.8,37.92,61.79,8.5
Hope,1,US,1561609675,65,33.67,-93.59,77,3.36
Lazaro Cardenas,75,MX,1561609678,21,28.39,-105.62,84.99,10.29
Denpasar,75,ID,1561609456,78,-8.65,115.22,78.8,8.05
Novyy Urengoy,94,RU,1561609494,57,66.08,76.63,51.71,15.03
Beian,90,NO,1561609687,93,63.66,9.57,51.01,18.34
Bassila,100,BJ,1561609691,97,9,1.66,71.33,5.03
Baeza,99,ES,1561609694,72,37.99,-3.47,69.01,7
Lang Son,100,VN,1561609576,61,21.83,106.73,89.51,5.14
Linares,100,CL,1561609700,74,-35.85,-71.6,49.01,17.54
Dingle,100,PH,1561609703,78,11,122.67,81.41,9.86
Koslan,40,RU,1561609707,46,63.46,48.9,58.55,1.61
Vila do Maio,20,CV,1561609710,78,15.13,-23.22,73.4,20.8
Salta,0,AR,1561609646,93,-24.79,-65.41,41,5.82
Neka,40,IR,1561609716,74,36.65,53.3,82.4,6.93
Ladario,0,PT,1561609719,98,40.7,-7.74,61,2.64
Madimba,75,CM,1561609722,100,4.42,9.93,75.2,0.45
Piacabucu,51,BR,1561609726,90,-10.41,-36.43,74.75,8.9
Dilla,68,ET,1561609729,82,6.41,38.31,68.81,9.75
Muroto,75,JP,1561609732,88,33.37,134.14,77,6.93
Maputo,20,MZ,1561609735,93,-25.97,32.57,57.2,3.36
Bowen,90,AU,1561609738,73,-20.01,148.25,73.4,19.46
Tuxpan,100,MX,1561609742,91,19.56,-103.38,65.39,2.13
Morant Bay,20,JM,1561609745,66,17.88,-76.41,84.2,4.7
Cururupu,97,BR,1561609748,98,-1.82,-44.87,72.23,1.74
Lagoa,40,PT,1561609751,82,37.14,-8.45,62.6,6.93
Talaya,0,RU,1561609754,50,55.79,84.89,75.2,8.95
Tarko-Sale,97,RU,1561609757,91,64.92,77.78,46.99,1.99
Torres,0,BR,1561609761,78,-29.34,-49.73,43.97,3.02
Jinchang,100,CN,1561609764,61,38.52,102.19,56.57,11.61
Ca Mau,100,VN,1561609767,92,9.18,105.15,76.01,9.26
Mikhaylovka,93,RU,1561609770,81,52.96,103.29,60.71,5.1
Jardim,0,BR,1561609773,87,-21.48,-56.15,56.21,2.62
Kvarkeno,8,RU,1561609777,65,52.08,59.73,58.01,7.23
Sangar,0,RU,1561609780,35,63.92,127.47,80.51,1.23
Richards Bay,33,ZA,1561609783,69,-28.77,32.06,68.63,20.07
Muisne,58,EC,1561609786,84,0.61,-80.02,76.55,15.21
Winnemucca,1,US,1561609789,20,40.97,-117.74,68,12.75
Dryden,1,CA,1561609792,72,49.79,-92.84,62.6,5.82
Klaksvik,49,FO,1561609796,93,62.23,-6.59,50,11.41
Gladstone,75,AU,1561609799,53,-23.84,151.26,73.99,19.46
San Rafael,81,AR,1561609804,38,-34.61,-68.33,43.79,1.72
Concordia,0,AR,1561609807,91,-31.4,-58.02,39,3
Ballina,5,IE,1561609811,86,54.11,-9.15,55.99,20
Sicuani,15,PE,1561609814,86,-14.27,-71.23,31.73,5.46
Kachiry,73,KZ,1561609817,56,53.07,76.1,66.11,13.13
Xichang,86,CN,1561609820,83,27.88,102.25,70.25,5.57
Oktyabrskiy,40,RU,1561609823,87,55.61,37.97,57.2,6.71
Matara,78,BI,1561609827,81,-3.48,29.48,56.57,2.33
Pringsewu,56,ID,1561609830,67,-5.36,104.98,82.13,6.78
Cuamba,7,MZ,1561609833,70,-14.8,36.54,62.69,7.14
Geraldton,75,CA,1561609836,68,49.72,-86.95,64.4,8.05
Pareora,0,NZ,1561609839,70,-44.49,171.21,46,5.17
Morgan City,1,US,1561609842,94,29.7,-91.21,84,2.59
Soldotna,1,US,1561609846,52,60.48,-151.07,70,9.17
Vedasandur,100,IN,1561609849,37,10.53,77.95,91.85,11.99
San Ramon de la Nueva Oran,0,AR,1561609852,72,-23.13,-64.33,41.81,1.81
Yumen,98,CN,1561609855,30,40.29,97.04,75.83,17.29
Ndola,0,ZM,1561609858,70,-12.97,28.64,57.29,7.7
Namibe,19,AO,1561609861,79,-15.19,12.15,63.95,8.21
Longkou,79,CN,1561609865,68,37.64,120.47,75.65,7.31
Saint Peter,1,US,1561609868,64,44.32,-93.96,75,6.93
Borovnica,75,BA,1561609871,93,44.38,18.19,60.8,2.24
Tatarsk,100,RU,1561609874,83,55.22,75.96,54.41,8.37
Pirgos,20,GR,1561609877,74,35.12,25.72,80.01,14.99
Kendari,34,ID,1561609880,71,-3.99,122.52,82.67,4.74
Hokitika,0,NZ,1561609884,66,-42.72,170.96,46.49,4.7
Honiara,75,SB,1561609887,70,-9.43,159.96,89.6,16.11
Libreville,40,GA,1561609890,88,0.39,9.45,75.2,9.17
Kutum,35,SD,1561609893,43,14.2,24.66,80.33,7.63
Alugan,100,PH,1561609896,87,12.22,125.48,85.73,2.3
Sao Jose da Coroa Grande,100,BR,1561609899,97,-8.9,-35.15,70.25,1.3
Iracoubo,75,GF,1561609903,97,5.48,-53.21,73.85,8.01
Haines City,20,US,1561609906,88,28.11,-81.63,84,5.08
Yakhroma,40,RU,1561609909,100,56.29,37.48,55.4,11.18
Tuensang,100,IN,1561609912,95,26.24,94.81,77.99,1.92
Duluth,1,US,1561609915,82,46.77,-92.13,69.01,3.27
Anito,100,PH,1561609919,87,12.45,125.29,85.73,2.3
Crossville,1,US,1561609922,88,35.95,-85.03,73.99,3.36
Savannakhet,40,LA,1561609925,70,16.57,104.76,86,6.93
Lebanon,1,US,1561609899,88,40.34,-76.42,77,4.14
Baruun-Urt,98,MN,1561609931,17,46.68,113.28,79.61,15.7
Sistranda,90,NO,1561609935,93,63.73,8.83,51.01,18.34
Karpathos,20,GR,1561609938,88,35.51,27.21,77,23.04
Goderich,1,CA,1561609941,78,43.74,-81.71,66,1.99
Kochevo,20,BG,1561609944,88,42.1,24.92,68,3.36
Bougouni,67,ML,1561609947,81,11.42,-7.49,76.73,6.87
Havelock,1,US,1561609951,78,34.88,-76.9,80.01,2.51
Trani,0,IT,1561609954,68,41.28,16.42,79,4.7
Luang Prabang,40,LA,1561609957,56,19.89,102.14,93.2,2.24
Kihei,75,US,1561609960,74,20.76,-156.45,79,6.93
Awjilah,0,LY,1561609963,56,29.14,21.3,80.69,11.77
Tautira,20,PF,1561609966,74,-17.73,-149.15,80.6,8.05
Lerwick,60,GB,1561609970,87,60.15,-1.15,50,12.75
Aranda de Duero,0,ES,1561609973,47,41.67,-3.69,67.55,8.55
Kolokani,7,ML,1561609976,63,13.58,-8.03,82.85,11.05
Terrace,75,CA,1561609979,68,54.52,-128.61,66.99,5.82
Port Hedland,25,AU,1561609982,73,-20.31,118.58,73.4,8.05
Oum Hadjer,100,TD,1561609985,31,13.3,19.7,89.33,6.76
Ponta Delgada,20,PT,1561609989,67,37.73,-25.67,62.6,11.41
Gopalpur,100,BD,1561609992,56,24.18,89.13,94.73,12.53
Cedar City,1,US,1561609995,18,37.68,-113.06,69.8,9.17
Sioux Lookout,20,CA,1561609998,82,50.1,-91.92,62.6,4.7
Alyangula,75,AU,1561610001,54,-13.85,136.42,80.6,10.29
Luanda,40,AO,1561610005,94,-8.83,13.24,68,4.7
Santa Cruz,1,US,1561609872,72,36.97,-122.03,64,6.93
Zharkent,1,KZ,1561610012,46,44.17,80,64.67,6.98
Tecolutla,100,MX,1561610015,96,17.31,-98.74,62.69,1.45
Henties Bay,80,NA,1561610018,87,-22.12,14.28,57,3
